feature,importance
29_2_13_rolling_3,0.00013111914
27_1_6_rolling_6,0.00013081353
7_0_31_rolling_std_24,0.0001306149
21_0_19_rolling_3,0.00013058743
20_1_26_lag_12,0.00013040152
20_0_9_rolling_std_24,0.0001302975
4_2_20_rolling_3,0.00013025288
5_0_26_rolling_12,0.00013006867
18_2_5_rolling_3,0.00012961516
2_2_14_rolling_6,0.00012960008
12_0_10_rolling_12,0.0001293121
0_2_17_lag_24,0.00012914966
20_0_17_rolling_3,0.00012909451
18_1_19_rolling_12,0.00012889237
2_0_29_rolling_12,0.00012852236
27_2_29_rolling_std_24,0.00012832994
3_2_11_lag_168,0.00012809513
21_1_26_lag_12,0.00012774658
6_2_8_rolling_24,0.00012735628
15_0_26_lag_12,0.00012717063
9_1_7_rolling_6,0.00012697265
27_1_3_rolling_3,0.0001264243
3_2_24_rolling_24,0.00012641429
22_0_9_rolling_std_6,0.00012597951
2_2_0_rolling_3,0.00012576598
12_0_13_rolling_3,0.00012569888
6_1_27_rolling_24,0.0001255637
8_1_12_lag_24,0.0001252718
24_2_25_lag_1,0.00012511516
18_2_11_lag_6,0.00012497479
